######################     START OF THE TEST    ###################### -2015-11-23 13:11:01,590 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,691 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRatingFeedback                     -2015-11-23 13:11:02,692 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,693 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,693 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,699 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testGroupChat                     -2015-11-23 13:11:02,699 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,700 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,700 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,702 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserSignUP                     -2015-11-23 13:11:02,702 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,703 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,703 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,704 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRiderPassengerJoinNoti                     -2015-11-23 13:11:02,704 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,705 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,705 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,706 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRecharge                     -2015-11-23 13:11:02,707 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,707 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,707 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,709 - com.quickride.baselib.QRTestngListener - INFO
